restaurant,city,menu_type,category,dish,price,description,tags
Jack and Jacky's,Leeuwarden,Lunch,Bowls,AÇAI BOWL,13.2,"Açai, banaan, kokosdrink, granola, pindaswirl, gojibessen, kokos, hennepzaad & blauwe bessen",
Jack and Jacky's,Leeuwarden,Lunch,Bowls,CHEESECAKE OATS,10.8,"Overnight oats, Griekse yoghurt, aardbeienpuree, blauwe bessen, granola, aardbeien & frambozen",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Bowls,MANGO MADNESS BOWL,11.6,"Mango, banaan, kokosdrink, aardbei, granola, hennepzaad, yoghurt swirl & kokos",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Bowls,BREAKFAST BOWL,10.1,"Griekse yoghurt, granola, banaan, chiazaad, blauwe bessen, frambozen, gojibessen & agavesiroop",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Pancakes,BERRY PANCAKES,14.6,"Bananen pannenkoekjes, Griekse yoghurtroom, banaan, rood fruit puree, blauwe bessen, frambozen, agavesiroop & aardbeien",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Pancakes,LEMON POPPY PANCAKES,14.3,"Bananen pannenkoekjes, opgeklopte mascarpone met mango en citroen, mango puree, blauwmaanzaad, passievruchtsaus & kokos chips",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Pancakes,KIDS PANCAKES,7.3,"Twee kleine bananen pannenkoekjes, blauwe bessen, banaan, aardbei & agavesiroop",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,TUNA,9.6,"Gegrild volkorenbrood, tonijnsalade, avocado, tomaat & huisgemaakte groene pesto",fish
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,CHICKEN,9.9,"Gegrild volkorenbrood, tomaat, gegrilde kip, avocado & huisgemaakte groene pesto",meat
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,KIMCHI,9.1,"Gegrild volkorenbrood, kimchi, smashed avocado, miso & komkommer",spicy
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,SPICY AVOCADO,9.6,"Gegrild volkorenbrood,smashed avocado, feta & crispy chili olie","spicy, vegetarian"
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,SALMON,11.9,"Gegrild volkorenbrood, gerookte zalm, furikake, avocado, hoisin zuivelspread, wasabidressing & komkommer","fish, spicy"
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,SERRANOHAM,11.6,"Gegrild volkorenbrood, serranoham, mozzarella, tomaat, sla, balsamico & groene pesto",meat
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,CEASER,10.6,"Gegrild volkorenbrood, gemarineerde kip, romeinse sla, ceaserdressing, gekookt ei & parmezaanse kaas",meat
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,BURRATA,10.9,"Gegrild volkorenbrood, burrata, pesto, zoete cherrytomaat, basilicum & pistachecrumble",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,CARPACCIO,11.3,"Gegrild volkorenbrood, pesto, rundercarpaccio, tomaat, sla, Parmezaanse kaas & truffelmayo",meat
Jack and Jacky's,Leeuwarden,Lunch,Salads,CHICKEN,14.9,"Gegrilde kip, avocado, crispy tuinbonen, komkommer, tomaat, geroosterde pittenmix, gekookt ei & huisgemaakte groene pesto",meat
Jack and Jacky's,Leeuwarden,Lunch,Salads,SALMON,16.9,"Gerookte zalm, furikake, avocado, hoisin zuivespread, radijs, wasabi dressing, komkommer & cashewnoten","fish, spicy"
Jack and Jacky's,Leeuwarden,Lunch,Salads,BURRATA,16.9,"Burrata, komkommer, vijgen, gerookte amandelen, tomaat, balsamico, huisgemaakte groene pesto & pistachecrumble",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Salads,CARPACCIO,15.3,"Rundercarpaccio, pesto, tomaat, komkommer, Parmezaanse kaas, crispy tuinbonen, zongedroogde tomaat & truffelmayo",meat
Jack and Jacky's,Leeuwarden,Lunch,Salads,EXTRA'S,2.0,Glutenvrij brood,
Jack and Jacky's,Leeuwarden,Lunch,Salads,KOFFIE,3.3,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,AMERICANO,3.4,Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,Salads,ESPRESSO,3.3,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,DOUBLE ESPRESSO,3.8,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,ESPRESSO MACCHIATO,3.5,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,CAPPUCCINO,3.8,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,CORTADO,3.5,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,FLAT WHITE,4.3,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,LATTE MACCHIATO,4.1,Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,Salads,MOCHA COFFEE,4.5,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,BABYCCINO,2.6,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,COFFEE SHAKE,6.4,"Espresso, vanille-sojadrink, ijsklontjes & banaan",
Jack and Jacky's,Leeuwarden,Lunch,Salads,FRESH MINT,3.9,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,FRESH GINGER,3.9,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,CHAMOMILE LAVENDER,3.6,,meat
Jack and Jacky's,Leeuwarden,Lunch,Salads,ROOIBOS ORANGE,3.6,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,PURE GREEN,3.6,,
Jack and Jacky's,Leeuwarden,Lunch,Salads,SPICY LEMON,3.6,,spicy
Jack and Jacky's,Leeuwarden,Lunch,Salads,CHAI LATTE,4.9,Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,Salads,DIRTY CHAI LATTE,5.4,Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,Bakery,BANANABREAD,4.8,Van de grill met verse banaan,
Jack and Jacky's,Leeuwarden,Lunch,Bakery,CARROTCAKE,5.4,Met vanille frosting,
Jack and Jacky's,Leeuwarden,Lunch,Bakery,CHOCOLATE CAKE,5.4,Met drie soorten chocolade,
Jack and Jacky's,Leeuwarden,Lunch,Kids Food,KIDS PANCAKES,7.3,"Twee kleine bananen pannenkoekjes, blauwe bessen, banaan, aardbei & agavesiroop",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Kids Food,MINI YOGHURT BOWL,5.9,"Griekse yoghurt, granola, banaan, chiazaad, gojibessen, frambozen, blauwe bessen & agavesiroop",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Kids Food,BOWL OF FRESH FRUIT,4.5,Gevarieerd vers gesneden fruit,
Jack and Jacky's,Leeuwarden,Lunch,Kids Food,BANANABREAD,4.8,Van de grill met verse banaan,
Roast,Leeuwarden,Lunch,Soup,Currysoep,8.5,met kip en bosui,meat
Roast,Leeuwarden,Lunch,Soup,Mosterdsoep,8.5,met spek en bosui - kan vegetarisch,meat
Roast,Leeuwarden,Lunch,Egg Dishes,Gerookte zalm,19.5,op getoast briochebrood met gepocheerde eieren en Hollandaise,fish
Roast,Leeuwarden,Lunch,Egg Dishes,Gerookte biefstuk,19.5,op getoast briochebrood met gepocheerde eieren en Hollandaise,meat
Roast,Leeuwarden,Lunch,Egg Dishes,Oude kaas,14.0,op getoast briochebrood met gepocheerde eieren en Hollandaise,vegetarian
Roast,Leeuwarden,Lunch,Sandwiches,Carpaccio,15.0,"van gerookte biefstuk, pesto, zongedroogde tomaat en parmezaanse kaas",meat
Roast,Leeuwarden,Lunch,Sandwiches,Smashed Avocado,15.0,"met tomaat, chiliflakes, gepocheerd ei en Hollandaise","spicy, vegetarian"
